date,miner,type,to_miner,address,value,pct_addrs,pct_value
10/1/2014 0:00,AntPool,before,BitFury,0,0,0,0
10/1/2014 0:00,AntPool,before,NEW,1241,4015.946394,0.930284858,0.623673846
10/1/2014 0:00,AntPool,cross,SAME,1334,6439.177176,1,1
10/1/2014 0:00,AntPool,cross,KanoPool,1,0.00708962,0.000749625,1.10E-06
10/1/2014 0:00,AntPool,cross,CROSS,125,1342.842413,0.093703148,0.208542548
10/1/2014 0:00,AntPool,after,SAME,36,2399.868372,0.026986507,0.372697987
10/1/2014 0:00,AntPool,after,BitFury,0,0,0,0
10/1/2014 0:00,AntPool,after,KanoPool,2,0.00979986,0.00149925,1.52E-06
10/1/2014 0:00,AntPool,after,DROPOUT,1201,3674.857881,0.90029985,0.570703023
10/1/2014 0:00,KanoPool,before,AntPool,0,0,0,0
10/1/2014 0:00,KanoPool,before,BitFury,0,0,0,0
10/1/2014 0:00,KanoPool,before,NEW,27,43.90138189,0.613636364,0.582411914
10/1/2014 0:00,KanoPool,cross,AntPool,1,0.01406596,0.022727273,0.000186604
10/1/2014 0:00,KanoPool,cross,SAME,44,75.37857797,1,1
10/1/2014 0:00,KanoPool,cross,CROSS,14,10.27324912,0.318181818,0.13628871
10/1/2014 0:00,KanoPool,after,AntPool,0,0,0,0
10/1/2014 0:00,KanoPool,after,BitFury,0,0,0,0
10/1/2014 0:00,KanoPool,after,SAME,31,72.84132741,0.704545455,0.966339899
10/1/2014 0:00,KanoPool,after,DROPOUT,11,2.53310686,0.25,0.033605129
11/1/2014 0:00,AntPool,before,SAME,36,2908.441312,0.049861496,0.439221188
11/1/2014 0:00,AntPool,before,KanoPool,0,0,0,0
11/1/2014 0:00,AntPool,before,NEW,540,2119.491727,0.747922438,0.320077174
11/1/2014 0:00,AntPool,cross,SAME,722,6621.814678,1,1
11/1/2014 0:00,AntPool,cross,BitFury,0,0,0,0
11/1/2014 0:00,AntPool,cross,KanoPool,3,0.24115975,0.004155125,3.64E-05
11/1/2014 0:00,AntPool,cross,CROSS,191,3136.688137,0.264542936,0.473690112
11/1/2014 0:00,AntPool,after,SAME,235,4922.994805,0.325484765,0.743451009
11/1/2014 0:00,AntPool,after,BitFury,0,0,0,0
11/1/2014 0:00,AntPool,after,KanoPool,3,0.047,0.004155125,7.10E-06
11/1/2014 0:00,AntPool,after,DROPOUT,420,1654.224841,0.581717452,0.249814427
11/1/2014 0:00,BitFury,before,AntPool,0,0,0,0
11/1/2014 0:00,BitFury,before,KanoPool,0,0,0,0
11/1/2014 0:00,BitFury,before,NEW,14,17275.48,0.933333333,0.983259853
11/1/2014 0:00,BitFury,cross,AntPool,0,0,0,0
11/1/2014 0:00,BitFury,cross,SAME,15,17569.59765,1,1
11/1/2014 0:00,BitFury,cross,KanoPool,0,0,0,0
11/1/2014 0:00,BitFury,cross,CROSS,1,294.117647,0.066666667,0.016740147
11/1/2014 0:00,BitFury,after,AntPool,0,0,0,0
11/1/2014 0:00,BitFury,after,SAME,0,0,0,0
11/1/2014 0:00,BitFury,after,KanoPool,0,0,0,0
11/1/2014 0:00,BitFury,after,DROPOUT,14,17275.48,0.933333333,0.983259853
11/1/2014 0:00,KanoPool,before,AntPool,2,0.29034934,0.014388489,0.000505496
11/1/2014 0:00,KanoPool,before,SAME,31,353.0311761,0.223021583,0.6146242
11/1/2014 0:00,KanoPool,before,NEW,82,42.57360765,0.589928058,0.07412028
11/1/2014 0:00,KanoPool,cross,AntPool,3,0.62506991,0.021582734,0.001088241
11/1/2014 0:00,KanoPool,cross,BitFury,0,0,0,0
11/1/2014 0:00,KanoPool,cross,SAME,139,574.385415,1,1
11/1/2014 0:00,KanoPool,cross,CROSS,43,199.3803937,0.309352518,0.347119527
11/1/2014 0:00,KanoPool,after,AntPool,5,0.22790489,0.035971223,0.00039678
11/1/2014 0:00,KanoPool,after,BitFury,0,0,0,0
11/1/2014 0:00,KanoPool,after,SAME,69,532.7768624,0.496402878,0.927559873
11/1/2014 0:00,KanoPool,after,DROPOUT,50,37.90386032,0.35971223,0.06599029
12/1/2014 0:00,AntPool,before,SAME,235,7930.055674,0.210762332,0.595150405
12/1/2014 0:00,AntPool,before,BitFury,0,0,0,0
12/1/2014 0:00,AntPool,before,KanoPool,5,0.49620855,0.004484305,3.72E-05
12/1/2014 0:00,AntPool,before,NEW,711,3935.429076,0.637668161,0.295353817
12/1/2014 0:00,AntPool,cross,SAME,1115,13324.45648,1,1
